,Coefficients,P-Values
Operations Management,-418.17082612532363,0.03577819311392607
Virtualisation,-418.17082612532363,0.03577819311392607
Linux System Administration,-418.17082612532363,0.03577819311392607
Channel,-293.05132343241075,0.036140981199427595
Quality Testing,640.6656885773101,0.036418459367981285
Databases,528.9059373811674,0.037461875709541896
APIs,810.6825257357433,0.037606347718688676
Struts,-387.4631906076388,0.03789550507110519
Encryption,-387.463190607638,0.03789550507110559
Software Engineering,-599.4924447203257,0.03877382129087972
ITIL,214.61751117959324,0.039198715612145094
IT hardware,214.61751117959307,0.039198715612145205
Python Programming,-541.1936536552837,0.039327044373702824
Evaluation,-644.5770608476408,0.039712353409625145
Reliability Improvement,686.2085276801041,0.03991034701423324
JEE,-294.95188789637103,0.04007366670920629
Transaction Management,-294.95188789637103,0.04007366670920629
Database Administration,-294.9518878963697,0.040073666709207235
Network Security,-395.3552775954289,0.04061593332396981
Mobility,-500.27102532806043,0.04095754923466959
Liaising with cross functional teams,-658.5847301095024,0.04184420387868143
Spring,-1427.0180617214294,0.04225973302998235
improve system performance,401.5134742341866,0.04258169117578002
Business Systems,401.5134742341861,0.04258169117578026
Data Mining,496.9674386067792,0.04306237855962262
Trunking,-739.2861399526629,0.04311153857898138
Electrical,-397.29949855246616,0.04346739901401334
Scope Management,286.32394593149746,0.04470585003690872
Mockups,-669.5507002571895,0.04564313016418131
Operational Procedures,908.5181346488325,0.045921113069534274
JSP,427.2109227740139,0.04617120457050897
EJB,427.2109227740139,0.04617120457050897
Project Coordination,-373.07330265260407,0.04637067107819748
Odoo,534.8043926959682,0.04698272498073995
PaaS,315.3939920736713,0.04728822798904891
Talend,315.3939920736713,0.04728822798904891
QlikSense,315.3939920736713,0.04728822798904891
QlikView,315.3939920736713,0.04728822798904891
cloudera,315.3939920736713,0.04728822798904891
Drawing,-349.1580525119816,0.04768013124371701
Management,-339.2214561501681,0.04790206233784807
support business users,-294.2800871053186,0.04870211775816911
Outsourcing Management,-294.2800871053186,0.04870211775816911
Implementation Support,-294.2800871053186,0.04870211775816911
Commercial Acumen,-294.2800871053177,0.048702117758169454
Application Frameworks,-294.2800871053179,0.0487021177581696
Solution Development,-674.9758723379776,0.049669980575002465
VLSI,219.94540258685336,0.04992460471617249
Revolution,219.94540258685336,0.04992460471617249
SystemVerilog,219.94540258685336,0.04992460471617249
Digital Signal Processors,219.94540258685336,0.04992460471617249
Flash,219.94540258685336,0.04992460471617249
Verilog,219.94540258685336,0.04992460471617249
Perl,219.94540258685336,0.04992460471617249
Microsoft Message Queue,456.13008034978515,0.050184511257487026
SSO,436.5310252018511,0.050449753525886036
Identity & Access Management,436.5310252018511,0.050449753525886036
Infrastructure Architecture,-422.76326819920735,0.05111380241236428
automation applications,270.86696027892174,0.05200419434101023
Groovy,270.86696027892174,0.05200419434101023
mSQL,270.86696027892174,0.05200419434101023
Powershell,270.86696027892174,0.05200419434101023
Ansible,980.2659066597934,0.05213534209629743
Web Development,525.5870071164161,0.05264870405833913
AS400 Administration,-533.8792267008344,0.05289382119722372
Experimentation,-227.56886623954153,0.053186846791893984
Test Engineering,-227.56886623954153,0.053186846791893984
Silicon Photonics,-227.56886623954153,0.053186846791893984
Physics,-227.56886623954153,0.053186846791893984
TCP,-165.8745492384004,0.05323867624617286
application troubleshooting,-165.8745492384004,0.05323867624617286
SQL Database Design,-165.8745492384004,0.05323867624617286
Release Management,-165.8745492384004,0.05323867624617286
Unix Operating Systems,-165.8745492384004,0.05323867624617286
Shell Scripting,-165.8745492384004,0.05323867624617286
Verbal Communication,352.46340203910376,0.05348784604228847
ETL Tools,363.69499824310304,0.053551766637180497
Cryptography,-392.0890427760412,0.054140875890614074
SCADA,413.69405150659264,0.05425949285925081
Application Servers,-265.75368042390016,0.05457482702990544
Onshore,-265.75368042390005,0.054574827029905515
Oracle Database,-265.75368042390005,0.054574827029905515
WSDL,-265.75368042390005,0.054574827029905515
Docker Container,611.6815329686456,0.0546402282057647
Budgets,-489.5758486838547,0.055080011462785024
Critical Thinking,446.39295292124007,0.055138283030736
Troubleshooting,-654.1773243223331,0.05559752545368327
MS Project,-358.5837719845294,0.05771359056839068
PRINCE2,-358.5837719845294,0.05771359056839068
Python scripting,537.4637129783553,0.05807227990067071
Customer Management,-187.68112622585028,0.05812490940617347
Vendor Management Skills,-187.6811262258496,0.058124909406174013
Natural Language Processing,543.3487124670125,0.059003153297663334
Interfaces,433.7367102439591,0.05901461258345986
Team Involvement,323.8304718889472,0.06180685110659418
Data Analysis,-337.8813148478608,0.06195757708369172
Python,-697.0780090748614,0.06269587413352856
Technical Design,1141.6313900693258,0.06305425372444907
Soft Skills,566.1076953243644,0.06509371512105698
Laravel,362.1816515693188,0.06575850294621495
systems reliability,-584.95671940487,0.06598935202046995
Cucumber,234.81273185076407,0.06666167378407269
Infrastructure Deployment,249.66278695996638,0.06703442484342448
Strategy Alignment,249.66278695996638,0.06703442484342448
IT systems implementation,249.66278695996638,0.06703442484342448
risk management support,249.66278695996638,0.06703442484342448
Maintenance of data integrity,249.66278695996638,0.06703442484342448
Business Continuity Planning,249.66278695996496,0.06703442484342573
GCP,531.9714805602932,0.06804071614384183
Ability To Work Under Pressure,-362.6518467392519,0.06956125296114284
Jenkins,1000.1409916654883,0.07127242043886164
Blockchain,363.658308514392,0.07222207915668381
Manage technology planning,-328.54999313704786,0.07310503505894927
Mobile Applications,-529.0273680422534,0.0766185884953339
Corporate Security,-282.43224486588156,0.07695018228651944
Database Security,-282.4322448658793,0.07695018228652137
application performance,-282.43224486587906,0.07695018228652176
Efficiency,-282.43224486587906,0.07695018228652176
User Interface and User Experience Optimisation,-282.43224486587906,0.07695018228652176
Architecture,592.4877438255908,0.07696392033980413
Data Modeling,428.54590603787244,0.0786685348792394
UNIX System Administration,-641.7524159424595,0.07903501969876324
JSON,-502.05756530197016,0.07971429362721448
Problem Solving,-471.56780722601576,0.07973107605625607
Agile,519.0637131339622,0.08054647087761102
Workplace Safety,257.8563001254127,0.08054979558463904
Microsoft Windows,257.8563001254127,0.08054979558463904
Workplace Safety and Health,257.8563001254127,0.08054979558463904
Security Awareness,-598.420040571516,0.08156466963019667
Angular,551.057177213399,0.08183041360132579
Azure,474.1286262000445,0.08258343368135285
SSIS,397.56086196511563,0.08303403134912869
Bug Tracking,-384.32676658094226,0.08379985008899214
design approval,-384.3267665809412,0.08379985008899277
SWIFT,219.44084631917138,0.08753667862388216
SWIFT Messaging,219.44084631917138,0.08753667862388216
SWIFT Payments,219.44084631917138,0.08753667862388216
Weblogic,219.44084631917138,0.08753667862388216
International Payments,219.44084631917138,0.08753667862388216
WebLogic Applicationserver,219.44084631917138,0.08753667862388216
SWIFT message,219.44084631917138,0.08753667862388216
Electronic Fund Transfer,219.44084631917138,0.08753667862388216
Oracle WebLogic Server,219.44084631917138,0.08753667862388216
Sound Design,-202.57706639879575,0.08796186487025878
DRM,-202.57706639879578,0.08796186487025878
Signal Processing,-202.57706639879575,0.08796186487025878
Radio,-202.57706639879575,0.08796186487025878
Combat,-202.57706639879575,0.08796186487025878
RF,-202.57706639879575,0.08796186487025878
Telecommunications,-202.57706639879575,0.08796186487025878
Vocal,-202.57706639879575,0.08796186487025878
Audio Design,-202.57706639879552,0.08796186487025896
DSP,-202.57706639879535,0.08796186487025942
Refactoring,328.78406953248657,0.0888046643877439
Java Web Services,479.3135936487475,0.0890637726780797
Scalable Architecture,392.40516041144144,0.08944329086838357
PLC,252.16593953625164,0.08989141248153198
Business Analyst,-575.3954370490566,0.09000868247433028
Research,235.90991016653888,0.09136096974302421
Quantum Computing,235.90991016653888,0.09136096974302421
Research Skills,235.90991016653888,0.09136096974302421
Middleware,235.90991016653888,0.09136096974302421
computer sciences,235.90991016653888,0.09136096974302421
Team Player,-425.0577253677892,0.09203111352777119
Web,805.1237014846954,0.09286495420275788
Team Development,-361.9420687383097,0.09297355612959117
Airline Reservations,-440.6516589858833,0.09564951934756755
provide feedback,-440.651658985879,0.09564951934757075
Azure Machine Learning,-440.6516589858781,0.0956495193475712
Web Technologies,-1339.3048967966986,0.09637657135790823
Cross-platform Development,707.2098619897833,0.09721415151757173
Git,-544.3823274901602,0.10081562801116348
software debugging,-563.1410736216577,0.10138036653069735
Spring Boot,522.8262707833377,0.10251616941307232
Continuous Integration,658.3669548751337,0.10414156582394288
Technical Leadership,391.7298616786451,0.10429337240860799
Data Analytics,347.5493938487441,0.10472190088176878
Bitbucket,302.105685237245,0.10698757611966327
BSP,-198.2802616693981,0.10716940944997384
Hardware Support,-198.2802616693977,0.10716940944997436
Linux Kernel,-198.2802616693977,0.10716940944997436
Embedded C,-198.2802616693977,0.10716940944997436
Performing,-198.2802616693977,0.10716940944997436
debugging of applications,-198.2802616693977,0.10716940944997436
Embedded Systems design,-198.2802616693977,0.10716940944997436
System Services,-198.2802616693977,0.10716940944997436
Windows,351.75383789977985,0.10918940563445743
API Management,440.8925042142314,0.11388891841144577
Education,333.89359754825466,0.11446133495521908
Material Design,497.7819878332174,0.11637004414389279
QA Testing,-322.10140451014877,0.11698318087237229
Quality Improvement,-322.10140451014877,0.11698318087237229
Fastlane,-604.0848626975891,0.11741102264130708
Cloud Applications,-356.88970596707054,0.1178230347919372
Technological Proficiency,-423.4537699744922,0.12084324173606983
Agile Development,523.6045832691486,0.1240762297036038
Software Quality Assurance,-325.26049767143456,0.1293895565034638
Continuous Delivery,-485.30359685009944,0.1304170639380762
Business Development,-224.66991788767572,0.13174868234790948
.NET,719.9099138641226,0.13303701623860503
Testing,407.38707014911415,0.13313693416738043
Analytical Approach,421.2197930056321,0.13640532139366682
Responsive Design,-748.4645649863522,0.1393727907824654
test system requirements,302.3070524556038,0.14063266461468962
System Implementation,302.3070524556038,0.14063266461468962
System Monitoring,302.3070524556038,0.14063266461468962
Process Operations Troubleshooting,-445.3562273523229,0.14090969147516236
Scrum,-732.0687751973771,0.14340242638056053
Cyber Security,479.14765894954843,0.14434863351717944
Java Programming,-497.37022056709213,0.1446443442618294
Core Java,-497.37022056709196,0.14464434426182968
Microsoft Azure,-379.6828067829152,0.14970290827307803
JavaScript Frameworks,-452.53935421212327,0.15138309300164687
Retail Banking,254.89373101066363,0.15251751054101176
Treasury,254.89373101066363,0.15251751054101176
Operational Delivery Teams,254.89373101066363,0.15251751054101176
develop the requirements,254.89373101066363,0.15251751054101176
SAS,254.89373101066363,0.15251751054101176
Asset Liability Management,254.8937310106619,0.1525175105410134
Maven,324.30713186090503,0.1547544778839401
Process Control,278.94712801278064,0.1558884070639071
SQL Azure (Cloud SQL Server),-349.12271434985297,0.15608924437811145
C++,-332.07703275067104,0.16213630992023045
Salesforce,-291.8898164347654,0.164226824043238
Salesforce Administrator,-291.8898164347654,0.164226824043238
implemented Salesforce,-291.8898164347654,0.164226824043238
Salesforce Training,-291.8898164347654,0.164226824043238
Engineering Mathematics,272.3143532518921,0.16594537651371882
Atlassian Confluence,-465.2048360525922,0.1660139275389932
Procurement,198.45175441259076,0.16782657919298158
Process Development,-235.8652703994079,0.17217041029654778
project management framework,-235.8652703994079,0.17217041029654778
Vendor Coordination,-235.8652703994079,0.17217041029654778
Decision Making,204.68716731687016,0.17380650346061247
CSS3,-526.0268063719101,0.17383919136984202
Technology Implementation,192.24785936386542,0.17507428689442636
Management Skills,1083.9976958544212,0.17579140504395843
resolve system issues,-231.4569417284656,0.17917469614593226
Data,291.0760623973198,0.17984211766632033
Source Code development,289.89532655093035,0.18075232916236283
Windows Scripting,289.89532655093035,0.18075232916236283
project definition,289.89532655093035,0.18075232916236283
Customer Complaints System,289.8953265509295,0.1807523291623638
Business Rules Engine,292.0228433185697,0.18259905925827197
integrated workflow,292.02284331856833,0.1825990592582739
Workflow,292.02284331856805,0.18259905925827422
Bash,-497.9432562287109,0.18281390411123197
TDD,-333.5814178946013,0.18407593140482664
User Acceptance Testing,-288.9144677527986,0.18604586160724898
Embedded Software,257.02194383719456,0.18627307713402852
System Testing,-304.3671556588807,0.18827480057382123
Ability To Work Independently,-307.5226979890841,0.1913585089348722
Web Application Development,-307.52269798908435,0.19135850893487236
Google Cloud Platform,-507.66239993013505,0.19155387015129266
Software Development,246.90421294542415,0.19175051589765993
SDLC,-378.4299688189637,0.19248075832785255
JIRA,597.243850425193,0.1951919182102054
DynamoDB,-513.4654691239253,0.19534863842801958
Supervisory Skills,-268.8967675092427,0.19552756128126172
Networking,326.4249773502644,0.19574699455597075
Quality Assurance,-308.16183460123295,0.2005563908563931
Application Security,205.9369809811547,0.20113591135038586
Multithreading,251.87593548145517,0.20147207328949035
Facilitation,-314.8159704133641,0.20222251051082593
Algorithms,-394.1780141238583,0.2030262047852065
MVC,-1135.8211237614578,0.20350087331759317
PHP,332.5852151491955,0.2042660138310968
Electrical Engineering,-304.5281372486923,0.20780201913744273
Front-end Engineering,381.9697850724662,0.21659522839287673
Team Collaboration,-259.2531232141583,0.21711957894577177
MySQL DBA,212.74461686429345,0.21713508773951495
IT Security Best Practices,212.74461686429345,0.21713508773951495
Bash Scripting,212.74461686429325,0.21713508773951584
Negotiation,-267.3467929276733,0.2203292433171699
Medical Imaging,249.63521980392392,0.2217822614997711
Robotic Surgery,249.63521980392392,0.2217822614997711
Systems Design,588.5354222588255,0.2222019532525381
Analog,-173.3140527453402,0.22619464467938016
VC,-173.3140527453397,0.22619464467938138
MFC,-173.3140527453397,0.22619464467938138
Access Control Management,309.2810140073326,0.22671062543353282
RPG,419.8307577515138,0.22796863626334976
Timeline Development,419.8307577515138,0.22796863626334976
performance tuning of Queries,209.90230926440782,0.23110499622886696
database tuning,209.90230926440782,0.23110499622886696
SQL Tuning,209.90230926440782,0.23110499622886696
Functional Specifications,185.84279287321158,0.23236013271326963
Project Team Management,185.84279287321158,0.23236013271326963
Coordination,185.8427928732088,0.23236013271327657
software version control,357.6056964728642,0.23246000402647973
SOAP,-241.27071839644486,0.23390295710229866
Software Design,352.4032654597424,0.24004335495796425
Stem,451.8590159850497,0.24101984711448782
Proof of Concept,451.8590159850497,0.24101984711448782
Architecture Frameworks,-782.4578319086518,0.24201531362547873
Project Administration,-217.97568224850218,0.24277688588587307
Mentoring and Coaching,-217.97568224850232,0.24277688588587307
Employee Wellness Programs,-217.97568224850232,0.24277688588587307
Learning and Development Strategy,-217.97568224850232,0.24277688588587307
Collaborative,-488.45426927534004,0.24297344043559446
Continuous Improvement Management,-155.23625560478817,0.24320697354766882
Collaboration Tools,-155.23625560478777,0.24320697354767018
Customer Journey Mapping,-155.23625560478777,0.24320697354767054
CSCRM,-155.23625560478763,0.24320697354767076
Extreme Programming,-155.2362556047876,0.24320697354767093
Agile Coaching,-155.23625560478558,0.24320697354767712
scientific discipline,295.7168488579051,0.2449966925505416
Total Quality Management,-307.42153340290344,0.24709801760472194
project scope management,199.38130064418056,0.2508556640145723
System Integration,-216.94134630099876,0.25370618577823506
WebGL,350.20259630552476,0.25384853144159425
Energy Efficiency,132.1958410449362,0.2544539808278359
Websites,132.1958410449362,0.2544539808278359
Energy Engineering,132.1958410449362,0.2544539808278359
Windows Driver Development,132.1958410449362,0.2544539808278359
Package Delivery,132.1958410449362,0.2544539808278359
Renewable Energy,132.1958410449362,0.2544539808278359
Electrical Engineering (including power engineerin,132.1958410449362,0.2544539808278359
Power Systems,132.1958410449362,0.2544539808278359
Analyticalandresearch Skills,132.19584104493592,0.2544539808278364
DB2,-285.44692189517934,0.255800023966375
technical requirements,-511.272795127043,0.25922969124583184
System Deployment,332.9828285494858,0.2596424721003502
Technical Development,231.38285326967622,0.2598266077483196
DB2/SQL,176.9414548862776,0.26625240032498193
SQL,-302.18717476794063,0.2668425109980229
Attention to Detail,319.297520380503,0.26774472606060945
Design for Maintainability,348.7032564380555,0.2678277504891946
Stakeholder Engagement,202.58529311714548,0.2733427954276924
Systems Engineering,202.58529311714548,0.2733427954276924
Apache,-134.65790025753475,0.27408392033502127
Web Developer,-134.6579002575326,0.27408392033502865
PHP Frameworks,-134.6579002575325,0.2740839203350289
Haulage,-134.6579002575325,0.2740839203350289
Warehousing,-134.6579002575325,0.2740839203350289
Trucking,-134.6579002575325,0.2740839203350289
3rd party integration,94.7199261170733,0.274350918558432
SAP HANA,94.71992611707284,0.27435091855843685
System Migration,94.71992611707284,0.27435091855843685
developing interfaces,94.71992611707284,0.27435091855843685
SAP Fiori,94.71992611707284,0.27435091855843685
SAP migration,94.71992611707284,0.27435091855843685
SAP PI/XI,94.71992611707284,0.27435091855843685
CDS,-474.1096994340664,0.27527485919557954
Algorithm Development,263.2231316831544,0.27541024313664025
Stackless Python,324.7190961140641,0.2780017296241382
Systems Analysis,399.8435097297797,0.2786260216506484
Coaching,246.44951419547834,0.2792809250597199
Medical Devices,403.20734957060574,0.2841145791537678
Asian Markets,-90.47425703361692,0.2918034559780908
Channel Partners,-90.47425703361654,0.2918034559780928
Relationship Management,-90.47425703361635,0.291803455978094
Sales Strategy Development,-90.47425703361635,0.291803455978094
Market Analysis,-90.47425703361635,0.291803455978094
Team Management,-90.47425703361635,0.291803455978094
Administrative Management,-90.47425703361571,0.29180345597809776
Scheduling,-234.18603288383503,0.2937454684372872
Implemented Code,-291.2704285952501,0.29627410644601687
Field Service,-195.79719858796614,0.29717107231143747
Windows XP,-195.79719858796614,0.29717107231143747
Web API,240.65327236035824,0.2986998543562038
Client Communications,-188.97365512314366,0.2988290866687212
DB2 database administration,-188.9736551231431,0.29882908666872293
application maintenance,-188.973655123143,0.29882908666872315
Integration,-335.65245571757004,0.30041194784437714
Angular.js,277.07282177310725,0.3040521480654159
Spring Framework,-472.87971480448573,0.30417271256135825
Functional Requirements,221.73242280343644,0.30821473421707285
CUDA,-185.38118117309682,0.3095197010592215
Applied Research,-202.11604304169717,0.3111406552435521
Upstream,-202.11604304169498,0.3111406552435574
Software Testing,-279.6888520995272,0.3120217044044544
Identity Management,292.9113480528931,0.3162501491681973
Cordova,253.69846813881438,0.3166191159872792
Communication,-220.1124651154527,0.3172294229420674
Workforce Development,-124.09948563790547,0.3230149633493728
Pricing,-124.09948563790515,0.3230149633493741
Mathematics,258.4226072952921,0.32576303764081577
Performance Management,264.850630616403,0.3273159686497606
System Administration,-316.15455741286377,0.32894802339847684
Patch Management,-222.4978348333395,0.3290603088253452
Client Relationship Management,-100.57043224977144,0.32996429638955144
producing proposals,-100.57043224977119,0.329964296389553
Quotations,-100.57043224977119,0.329964296389553
New Business Opportunities,-100.57043224977119,0.329964296389553
Sales Prospecting,-100.57043224977119,0.329964296389553
Sales,-100.57043224977092,0.32996429638955416
Account Management,-100.57043224977119,0.3299642963895548
Analytical Skills,-304.52524325640456,0.33258231827757345
Cross-cultural Communication Skills,-157.53714339280396,0.3357634463693992
Derivatives,-157.53714339280276,0.33576344636940286
Multi Tasking,-157.53714339280265,0.3357634463694033
QAQC,-157.53714339280265,0.3357634463694033
Hardware,-281.92294643663934,0.33621884060086676
Change Management,212.280063253629,0.3374955865769893
Test Automation,192.0783049016761,0.33835344792657335
Systems Programming,-117.48266437647388,0.3394243864552944
Requirements Management,-117.48266437647388,0.3394243864552944
Productivity Improvement,-117.48266437647388,0.3394243864552944
Positioning,-117.48266437647388,0.3394243864552944
analyzing Customer requirements,-117.48266437647388,0.3394243864552944
development of machine control software,-117.48266437647388,0.3394243864552944
Automation Systems Maintenance,-117.48266437647385,0.33942438645529444
Administrative Work,260.9496733497672,0.34194300643535236
Authorization,-209.21866892913206,0.34588566710333213
Code Generation,-126.90457094348396,0.3477838627329186
Chrome,-126.90457094348317,0.34778386273292194
Credentialing,-126.90457094348223,0.34778386273292533
Endpoint Encryption,-126.9045709434821,0.3477838627329255
Flow Chart,-126.9045709434821,0.3477838627329255
Visual Identity,-126.9045709434821,0.3477838627329255
Enterprise Vault,-126.9045709434821,0.3477838627329255
Web Architecture,488.9777300831335,0.3481097893752284
Cloud Computing,128.10617405486585,0.34817227917439136
ERP,268.2131052753457,0.3500236406352367
Technical Delivery,98.71785344217513,0.36429225918929464
Software Integration Testing,251.86183373151255,0.3649741895634062
Security,306.5498220010339,0.36528892315089134
Combined Programming Language,214.43285733281112,0.3668085432211702
Tolerance,128.39385990603358,0.3668662951251858
Geometry,128.39385990603358,0.3668662951251858
Working With Clients,128.39385990603358,0.3668662951251858
Web Developers,128.39385990603358,0.3668662951251858
Silicon,128.39385990603358,0.3668662951251858
Full Stack Development,-382.45379951099426,0.3671202179911236
Oracle,-302.61705136157366,0.36980877557878694
Pipeline Development,314.85247664776296,0.3702943591109513
"object-oriented analysis, design and programming",111.05252423665468,0.37063695855597845
Object-Oriented Analysis,111.05252423665468,0.37063695855597845
Object-oriented programming,111.05252423665468,0.37063695855597845
Budgeting,-170.90264575867863,0.37134212495562074
ICT,201.8374204302668,0.37259644733163083
MSSQL,191.60936423075432,0.3771619880176594
Configuration Management,196.8355609071583,0.38160046396393205
Precision Engineering,-128.56023946019994,0.38375070071807527
Object Oriented Software,-128.56023946019994,0.38375070071807527
Object Oriented Design,-128.56023946019994,0.38375070071807527
Semiconductor Manufacturing,-128.56023946019994,0.38375070071807527
Client Communication,150.5149131336692,0.3886861681687698
Java 8,150.5149131336682,0.3886861681687731
Spring Data,150.5149131336682,0.3886861681687731
Digital Transformation,-197.3630842154024,0.3896264589277074
System Design,339.08567290218133,0.3913668331065145
CCNA,99.04873875811467,0.3920728619882635
WAN,99.04873875811398,0.3920728619882668
VPN,99.04873875811398,0.3920728619882668
CCNP,99.04873875811364,0.3920728619882685
Service Oriented Architecture Design,118.88186322117328,0.39256970061418234
GCC,118.88186322117328,0.39256970061418234
Azure DevOps,118.88186322117298,0.3925697006141837
Develops software solutions,-171.4411128776996,0.39319070891379276
manage software development,-171.4411128776996,0.39319070891379276
Designing software systems,-271.05479414315516,0.3947134853266183
Debugging,228.27857566901616,0.40539302545003164
monitoring SLAs,-154.03074589996584,0.407480250809387
Software Installation,-154.03074589996584,0.407480250809387
Security Compliance,-154.03074589996584,0.407480250809387
GNU E,-160.30946621615098,0.40900778915030167
Presentation Skills,-160.30946621615098,0.40900778915030167
Packaging,-180.67082140451663,0.40962759842032426
Manufacturing Processes,-180.67082140451663,0.40962759842032426
Process Automation,-180.67082140451663,0.40962759842032426
Containerization,-255.60909708105427,0.4097470263201526
Automation Design,142.3067208187227,0.41202173798514025
Public Sector,156.39260772104873,0.4120272421483832
Technical Documentation,268.12296268156456,0.4151770814116283
Project Delivery,186.75436003408913,0.4168637287701558
HTML/XML,-162.8498895107912,0.417583376761484
J2EE,-162.8498895107912,0.417583376761484
Information Technology,284.49379218078246,0.4176309506894696
CCIE,78.9998665375929,0.4178621369042303
CCIM,78.99986653759163,0.41786213690423757
Technical Specialists,78.99986653759134,0.41786213690423935
Test Environments,78.99986653759134,0.41786213690423935
technological knowledge,78.99986653759134,0.41786213690423935
LAN/WAN,78.99986653759134,0.41786213690423935
Network Infrastructure,78.99986653759134,0.41786213690423935
Stakeholder Management,198.7993912784371,0.42181884371679873
Requirements Analysis,143.92049334585803,0.42394328577623247
Terminology,143.92049334585803,0.42394328577623247
Data Visualisation,143.92049334585744,0.42394328577623425
Project Management,-225.9321725197437,0.4257759451205405
External Project,189.01234672979157,0.4281846020842497
Execute software releases,125.12479291176155,0.42818612764911484
Logistics and Transport,125.12479291176155,0.42818612764911484
Motivation,125.12479291176155,0.42818612764911484
Progress Monitoring,125.12479291176155,0.42818612764911484
Test Management Tools,125.12479291176155,0.42818612764911484
Test Automation Framework,125.12479291176155,0.42818612764911484
Agile Testing,125.12479291175879,0.4281861276491223
Certifications,141.69672912718778,0.4288103244338543
Architectural Engineering,-267.7750027693606,0.4315694442802653
Customer Focus,-140.90486915981887,0.4317133092885507
Creative Thinking,-140.90486915981876,0.4317133092885514
Change and Configuration Management,-140.90486915981862,0.43171330928855217
test documentation,-140.90486915981842,0.4317133092885523
Project Development,-140.90486915981842,0.4317133092885523
programming specifications,-140.90486915981842,0.4317133092885523
maintaining quality documentation,-140.90486915981808,0.43171330928855345
WPF,169.7246369516305,0.4321439978451327
technical project management,-246.32170025239435,0.43436063079422443
Semiconductor Industry,-116.51634200288501,0.43463405454599546
Business Process,-147.35572461731672,0.4351827321600765
SoC,158.44296803580608,0.4356558814934134
Zookeeper,-139.3042442016359,0.43609032187460506
Server Architecture,-139.3042442016359,0.43609032187460506
Network Architecture,-139.3042442016359,0.43609032187460506
MySQL server,-139.3042442016359,0.43609032187460506
AS400 system,-242.88930286523754,0.4361145474385741
End-User Development,197.6722248662064,0.4365697038280899
Terraform,-201.74557564838508,0.4424835633399106
Governance,-306.3896365532055,0.44276377765280595
SAP Solutions,-306.82895458833843,0.44315368074031436
Data Collection and Analysis,137.84589085950813,0.44467448650812785
Transaction Processing,-233.05253941207923,0.4451593195904159
MS SQL,162.7314966055105,0.4454302659783238
implement production,-77.71287266290469,0.45100911726775067
SLA adherence,-77.71287266290469,0.45100911726775067
Velocity,-77.71287266290469,0.45100911726775067
software development lifecycle,-77.71287266290469,0.45100911726775067
health monitoring software,-77.71287266290469,0.45100911726775067
Defect Density Monitoring,-77.71287266290459,0.4510091172677508
Deployment Plan,-77.7128726629046,0.4510091172677511
Process Improvement,165.05483471024485,0.4514213775726943
Django,268.3279895872478,0.4519073682480924
Computer Vision,-192.80148270834718,0.45266700032513096
Licensing,81.29503215953586,0.4531637448170916
C# .NET 4.0,107.66553541418467,0.45683861008112364
WPF Development,107.66553541418374,0.4568386100811275
SSRS,107.66553541418374,0.4568386100811275
Test Driven Development,256.13503539561077,0.4580646320641177
Backend Development,-268.33195219029597,0.45812282276199773
well-documented code,-290.73456249269213,0.4608948663862456
Business Process Improvement,151.38439863047753,0.4646920538032673
Incident & Problem,-128.88363150402913,0.4701094946560426
Insurance industry,-128.88363150402913,0.4701094946560426
Requirements Gathering,-174.67645485297925,0.47234627442377775
Arranging,-511.28919353225206,0.47569500744938287
HTTP,-140.03798724629607,0.47748462900579464
Vulnerability Management,282.78172585718056,0.4798146972662035
Application Support Services,151.85068727421503,0.4845408354916712
Software Deployment,-143.23210424093372,0.4870505701113802
Industrial Engineering,229.39872766543257,0.48905804710388673
Visualization,229.39872766543257,0.48905804710388673
HTML,-296.44750573479814,0.4910887247953961
Object Recognition,114.65318087756006,0.49187448525216965
computational skills,114.65318087756006,0.49187448525216965
Tracking,114.65318087756006,0.49187448525216965
ARM,-123.9540562895752,0.49269025659789345
Entity Framework,-203.75273712434517,0.4927279929098276
ASP,-282.0726126115814,0.4930868398366025
Mentorship,-250.33566347970097,0.49409959070271725
Mobile Handsets,166.11446106700623,0.4987997749462153
Microsoft Visio,97.80844199639127,0.49908125082455884
SCRUM-based development environment,97.80844199639127,0.49908125082455884
Business Process Analysis,97.80844199639,0.4990812508245649
XUnit,229.00624586385214,0.49958698586712214
Inventory Control,-110.31244860831988,0.5017429067811535
Traffic Management,-110.31244860831988,0.5017429067811535
Sampling,-110.31244860831988,0.5017429067811535
SAPScript,-181.8077148536838,0.506111444846759
EDI,-181.8077148536838,0.506111444846759
Android Application Development,181.80628539421502,0.5075868258000318
Technical Skillset,-142.76751121439136,0.5079569363368346
Maestro,-142.76751121439136,0.5079569363368346
Competency Management,-142.76751121438997,0.5079569363368389
AWS,163.63169171176352,0.5082825938976839
Project Engineering,69.4703138641111,0.5156666833539336
Marketing Planning,69.4703138641111,0.5156666833539336
AngularJS,-295.5967783830018,0.5172325259128547
WMS,-92.69717517026277,0.518976440624607
Enterprise Technology Sales,-92.69717517026277,0.518976440624607
Application Integration Architecture,-92.69717517026261,0.5189764406246072
Business Solution Architecture,-92.69717517026224,0.5189764406246095
C#.NET,-163.065001144717,0.5269521419514304
Software Development Methodologies,-226.7925358847307,0.528771137961011
Confluence,-197.0359632429892,0.5290257728994554
Concurrent Programming,-139.60049205254617,0.5294357849216945
